time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00536;6.87088;6.87321;9.08629;7.5;
9.00537;6.86394;6.86652;9.02025;7.5;
9.00538;6.85652;6.85933;8.94816;7.5;
9.00539;6.84864;6.85168;8.87032;7.5;
9.0054;6.84034;6.84358;8.78702;7.5;
9.00541;6.83164;6.83509;8.69861;7.5;
9.00542;6.82259;6.82622;8.60541;7.5;
9.00543;6.81322;6.81702;8.50782;7.5;
9.00544;6.80356;6.80752;8.4062;7.5;
9.00545;6.79366;6.79775;8.30096;7.5;
9.00546;6.78355;6.78776;8.19251;7.5;
9.00547;6.77327;6.77759;8.08129;7.5;
9.00548;6.76287;6.76727;7.96773;7.5;
